ip,port,now,goodcnt
118.99.122.145,8080,2021-05-02_11:53:49,5
45.5.152.215,8080,2021-05-02_13:30:12,2
41.217.219.53,31398,2021-05-02_13:42:09,1
94.73.205.1,55443,2021-05-02_13:42:09,1
162.243.244.206,80,2021-05-02_13:46:31,1
91.202.240.208,51678,2021-05-02_13:50:54,1
194.135.143.49,55113,2021-05-02_13:30:12,1
193.27.14.248,3128,2021-04-28_07:28:05,1
90.83.154.85,8080,2021-05-02_12:59:20,1
84.54.82.173,3128,2021-05-02_13:50:54,1
69.167.174.17,80,2021-05-02_12:50:35,1
192.241.172.93,8080,2021-05-02_12:59:20,1
169.57.1.84,8123,2021-04-30_05:04:20,3
129.146.112.125,80,2021-05-02_13:46:31,1
186.159.3.41,30334,2021-05-02_13:42:09,1
52.78.172.171,80,2021-05-02_13:30:12,1
8.135.41.167,80,2021-05-02_12:06:55,5
158.51.109.34,26019,2021-05-02_13:25:50,1
143.110.151.242,3128,2021-05-02_13:42:09,3
190.184.144.170,58975,2021-05-02_13:50:54,1
104.236.2.139,8080,2021-05-02_03:58:01,1
190.145.200.126,53281,2021-05-02_13:50:54,1
3.101.73.214,80,2021-05-02_13:46:31,1
34.93.243.67,80,2021-05-02_12:59:20,1
217.79.181.109,443,2021-05-02_13:42:09,2
3.141.45.199,80,2021-05-02_13:46:31,1
