ip,port,err,checkurl,g_idx
119.82.249.4,60959,"status=403, or ip not show in checkurl",https://www.whatismyip.com/,9
121.230.210.128,3256,asyncio.exceptions.TimeoutError,https://www.myip.com/,10
121.230.210.128,3256,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,10
121.230.210.128,3256,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,10
121.230.210.128,3256,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,10
121.230.210.128,3256,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,10
121.230.210.128,3256,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,10
121.230.210.128,3256,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,10
159.192.130.233,8080,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,11
159.192.130.233,8080,asyncio.exceptions.TimeoutError,https://www.myip.com/,11
159.192.130.233,8080,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,11
159.192.130.233,8080,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,11
159.192.130.233,8080,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,11
159.192.130.233,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,11
159.192.130.233,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,11
159.65.69.186,9300,"503, message='Too many open connections', url=URL('http://159.65.69.186:9300')",https://whatismyipaddress.com/zh-cn/index,12
159.65.69.186,9300,Server disconnected,https://www.whatismyip.com.tw/tw/,12
159.65.69.186,9300,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,12
159.65.69.186,9300,"status=200, or ip not show in checkurl",https://www.rus.net.tw/myip.php,12
159.65.69.186,9300,"status=200, or ip not show in checkurl",https://httpbin.org/ip,12
159.65.69.186,9300,"status=403, or ip not show in checkurl",https://www.whatismyip.com/,12
159.65.69.186,9300,"status=403, or ip not show in checkurl",https://www.myip.com/,12
