date,wd,A1,A2,A3,A375,A395,A75,A7595,A95115,A115135,A135155,A155,A155A,A155B,A155C,A155D,B1,B2,B3,B375,B395,B75,B7595,B95115,B115135,B135155,B155,B155A,B155B,B155C,B155D,C1,C2,C3,C375,C395,C375D,C395D,C75,C7595,C95115,C115135,C135155,C155,C155A,C155B,C155C,C155D
2019-01-15,(二),26066.0,26066.0,24964.0,24964.0,24492.0,25.0,472.0,6248.0,12897.0,5125.0,851.0,36.0,35.0,106.0,45.0,124.99,124.99,123.79,123.79,124.46,68.92,89.0,107.92,124.75,142.15,167.76,162.87,161.7,167.48,163.71,68.6,68.6,69.03,69.03,69.14,0.0,0.11,40.92,61.36,68.33,69.37,69.25,68.6,75.89,75.37,69.27,71.51
2019-01-16,(三),26592.0,26489.0,25432.0,25432.0,24837.0,29.0,595.0,6556.0,13418.0,4686.0,683.0,15.0,60.0,84.0,18.0,123.77,123.76,123.0,122.99,123.81,65.09,89.02,107.89,124.6,142.28,165.24,158.96,167.6,163.37,160.56,68.16,68.14,68.64,68.64,68.8,0.0,0.16,30.37,59.71,67.7,69.09,69.0,67.39,78.64,76.08,70.91,75.74
2019-01-17,(四),26509.0,26509.0,25483.0,25483.0,24884.0,21.0,599.0,6551.0,13201.0,4922.0,759.0,33.0,59.0,102.0,16.0,124.06,124.06,123.22,123.22,124.04,70.91,89.08,108.01,124.56,142.2,165.52,170.12,161.9,166.5,167.44,67.92,67.92,68.29,68.29,68.42,0.0,0.13,42.93,60.31,67.65,68.61,68.47,68.64,75.67,75.39,74.0,71.16
2019-01-18,(五),29727.0,29622.0,28497.0,28497.0,27984.0,26.0,513.0,6986.0,14668.0,5993.0,958.0,26.0,92.0,166.0,53.0,125.27,125.28,124.33,124.33,124.97,67.79,89.26,108.99,124.62,142.22,165.63,162.57,163.0,166.2,164.77,68.47,68.45,68.78,68.78,68.89,0.0,0.11,38.18,60.2,67.93,69.13,69.1,68.78,76.94,71.14,69.67,71.82
2019-01-19,(六),22051.0,22051.0,21391.0,21391.0,21112.0,14.0,279.0,5605.0,11509.0,3714.0,651.0,25.0,96.0,127.0,36.0,124.15,124.15,123.44,123.45,123.9,61.72,89.53,108.33,124.46,142.36,165.78,161.08,168.1,167.49,164.72,70.37,70.37,70.55,70.55,70.63,0.0,0.08,25.48,62.06,69.16,71.05,71.36,70.39,72.98,71.43,63.95,75.78
2019-01-20,(日),418.0,304.0,305.0,305.0,303.0,0.0,2.0,33.0,143.0,113.0,14.0,14.0,0.0,0.0,0.0,129.38,131.98,131.86,131.86,132.13,0.0,90.2,109.3,125.62,143.5,160.67,160.67,0.0,0.0,0.0,76.9,77.59,77.61,77.61,77.66,0.0,0.05,0.0,65.89,77.62,78.24,77.56,73.89,73.89,0.0,0.0,0.0
2019-01-21,(一),24758.0,24758.0,23704.0,23704.0,23176.0,24.0,528.0,6429.0,12115.0,4360.0,820.0,0.0,96.0,176.0,0.0,123.99,123.99,123.0,122.99,123.76,65.86,89.28,107.71,124.63,142.26,166.75,0.0,166.7,168.4,0.0,68.72,68.72,69.1,69.1,69.25,0.0,0.15,37.84,60.08,68.07,69.42,70.09,69.36,0.0,76.53,66.64,0.0
2019-01-22,(二),27404.0,27283.0,26354.0,26354.0,25730.0,25.0,624.0,7035.0,13776.0,4692.0,739.0,19.0,55.0,113.0,40.0,123.65,123.74,122.71,122.72,123.53,67.7,89.07,107.82,124.58,141.98,165.87,164.05,163.2,167.45,163.65,69.31,69.25,69.65,69.65,69.81,0.0,0.16,33.29,60.54,68.81,70.14,69.95,69.72,74.02,70.91,73.56,71.69
2019-01-23,(三),28118.0,28118.0,27079.0,27079.0,26394.0,20.0,685.0,7592.0,13530.0,5032.0,687.0,21.0,67.0,121.0,31.0,123.07,123.07,122.58,122.58,123.45,63.22,89.31,107.63,124.6,142.21,164.49,162.57,164.6,166.26,164.32,68.88,68.88,69.33,69.33,69.52,0.0,0.19,29.81,59.08,67.99,69.93,70.14,69.25,72.16,75.36,70.35,74.19
2019-01-24,(四),28318.0,28204.0,27143.0,27143.0,26480.0,20.0,663.0,7539.0,14055.0,4655.0,724.0,17.0,54.0,136.0,24.0,123.12,123.12,122.34,122.34,123.18,68.29,88.99,107.62,124.5,142.21,166.14,163.05,162.8,170.01,163.08,68.99,68.96,69.3,69.3,69.5,0.0,0.2,36.09,58.49,68.16,69.9,70.09,68.59,77.39,78.1,63.8,75.18
