title,author,star,price,src,href,rank,year
三體（華人第一人雨果獎得主）,劉慈欣,4.5,166,https://kbimages1-a.akamaihd.net/78e8dd35-ace7-436c-badf-b20adec54d13/140/215/60/False/kTCU7-k8WDSAP_mSmbCRtA.jpg,https://www.kobo.com/tw/zh/ebook/kTCU7-k8WDSAP_mSmbCRtA,65,2019
大腦減壓的子彈筆記術：用Evernote打造快狠準任務整理系統,電腦玩物站長(Esor),4.5,177,https://kbimages1-a.akamaihd.net/0e60c52c-8df3-4c24-8825-41653513c9a8/140/215/60/False/evernote-6.jpg,https://www.kobo.com/tw/zh/ebook/evernote-6,66,2019
快速抓重點，過目不忘的閱讀術：年讀700本人氣書評家高效率閱讀技巧大公開,印南敦史,4.0,166,https://kbimages1-a.akamaihd.net/1165d52d-83c4-4293-aac7-d924bb549179/140/215/60/False/XYs9YOQcUTa1bU6V75ftjA.jpg,https://www.kobo.com/tw/zh/ebook/XYs9YOQcUTa1bU6V75ftjA,67,2019
蘋果橘子思考術,李維特,4.5,166,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/EgEVi1JHyTC7Iep7lzg5Xw,68,2019
跟各國人都可以聊得來：語言大師教你如何掌握三大關鍵快速精通各國語言，學了就不忘！,加百列．懷納(Gabriel Wyner),0.0,259,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/FkPPBagUGD-cdlq2rR6hjQ,69,2019
別等到被欺負了才懂這些事: 第一時間就做好衝突管理,喬姬．蒂斯達夫諾 L. Georgi DiStefano,4.5,230,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/1tPHHzeuLjugYmLq3YFEnA,70,2019
富爸爸，窮爸爸（二十週年紀念版）,羅勃特T•清崎,4.5,234,https://kbimages1-a.akamaihd.net/7d5362cc-91e0-403f-9003-b5dcdfe35b94/140/215/60/False/wq69VgKE6ziuMLAXnkPsog.jpg,https://www.kobo.com/tw/zh/ebook/wq69VgKE6ziuMLAXnkPsog,71,2019
注意力商人: 他們如何操弄人心? 揭密媒體、廣告、群眾的角力戰,吳修銘 Tim Wu,4.5,387,https://kbimages1-a.akamaihd.net/ef041954-4f48-4c25-b947-f0b742da0ea1/140/215/60/False/57v1S1A_TD2sNNBRrqkzEQ.jpg,https://www.kobo.com/tw/zh/ebook/57v1S1A_TD2sNNBRrqkzEQ,72,2019
斜槓青年：全球職涯新趨勢，迎接更有價值的多職人生,Susan Kuang,4.5,167,https://kbimages1-a.akamaihd.net/7bcfe708-9d6c-4267-acb5-1eb63bc5153b/140/215/60/False/kbbC5ti0ZzOtrTzrostPaA.jpg,https://www.kobo.com/tw/zh/ebook/kbbC5ti0ZzOtrTzrostPaA,73,2019
偷書賊：建構統治者神話的文化洗劫與記憶消滅,安德斯．李戴爾(Anders Rydell),5.0,265,https://kbimages1-a.akamaihd.net/fc3b980a-0865-4945-9c6e-7d8b5463201b/140/215/60/False/qVxTVV9pcjm-v04d7YMrSw.jpg,https://www.kobo.com/tw/zh/ebook/qVxTVV9pcjm-v04d7YMrSw,74,2019
白垃圾：美國四百年來被隱藏的階級真相,南西．伊森伯格,4.0,369,https://kbimages1-a.akamaihd.net/ce3b0cba-3828-4bf6-b37b-e1ac2be08f03/140/215/60/False/qb8xNIfdWjWnBA3bXc-9eQ.jpg,https://www.kobo.com/tw/zh/ebook/qb8xNIfdWjWnBA3bXc-9eQ,75,2019
你的善良必須有點鋒芒,慕顏歌,4.5,167,https://kbimages1-a.akamaihd.net/7552655d-ee58-4b1f-8852-e0e1b6fbd5cc/140/215/60/False/_puAKyMYJzasNM5MrzF9Xw.jpg,https://www.kobo.com/tw/zh/ebook/_puAKyMYJzasNM5MrzF9Xw,76,2019
大會計師教你從財報數字看懂經營本質,張明輝,4.5,234,https://kbimages1-a.akamaihd.net/421b0e59-233a-4fc1-bcf6-f91ef3e1c331/140/215/60/False/Gav2tl-_rDu276cIXhKRAg.jpg,https://www.kobo.com/tw/zh/ebook/Gav2tl-_rDu276cIXhKRAg,77,2019
商業思維Business Thinking：職涯躍進的唯一解！一次搞懂企業如何高效運轉！,游舒帆(Gipi),5.0,199,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/business-thinking,78,2019
從未來寫回來的逆算手帳,小堀純子,4.5,196,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/PAlp_P9NPDytmcmwI-2Vzw,79,2019
大人們的餐桌,蔡子強,4.0,166,"https:data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.kobo.com/tw/zh/ebook/CHJ-Vh6aAz-VpUeRYcnkZA,80,2019
