title,author,star,price,src,href,rank,year
原子習慣,詹姆斯．克利爾,4.5,182,https://kbimages1-a.akamaihd.net/92214e93-fa53-49c7-9fc4-d32735187c15/140/215/60/False/pGo8y2e4ET6pdObwFQDfkg.jpg,https://www.kobo.com/tw/zh/ebook/pGo8y2e4ET6pdObwFQDfkg,1,2020
窮查理的普通常識（增修版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學,查理．蒙格 Charles T. Mun,4.5,249,https://kbimages1-a.akamaihd.net/d76ec374-f8fe-41f5-86a7-4009790dec98/140/215/60/False/9RQc6pAmtDSbQ3pEJML55Q.jpg,https://www.kobo.com/tw/zh/ebook/9RQc6pAmtDSbQ3pEJML55Q,2,2020
投資最重要的事：一本股神巴菲特讀了兩遍的書,霍華．馬克斯,4.5,210,https://kbimages1-a.akamaihd.net/9102d66a-8009-489d-9219-2a72f0ade0e1/140/215/60/False/nSRxSjjyhjavzfnJTENJXA.jpg,https://www.kobo.com/tw/zh/ebook/nSRxSjjyhjavzfnJTENJXA,3,2020
為什麼要睡覺？,沃克,4.5,273,https://kbimages1-a.akamaihd.net/1c4c498b-bdf7-4bba-b579-44cc4dc6150b/140/215/60/False/quFxMiMzKz6ey4Tp5UcGbw.jpg,https://www.kobo.com/tw/zh/ebook/quFxMiMzKz6ey4Tp5UcGbw,4,2020
莫斯科紳士,亞莫爾．托歐斯(Amor Towles),4.5,249,https://kbimages1-a.akamaihd.net/997be318-798f-488f-8905-7a21ff180e0f/140/215/60/False/08NVGFZ4eTi_zky9bUVq9w.jpg,https://www.kobo.com/tw/zh/ebook/08NVGFZ4eTi_zky9bUVq9w,5,2020
真確：扭轉十大直覺偏誤，發現事情比你想的美好,漢斯．羅斯林,4.5,221,https://kbimages1-a.akamaihd.net/787950cf-36ca-480c-8b17-f237f87bce30/140/215/60/False/tG1aCXbY1zG4OkF74QbGYQ.jpg,https://www.kobo.com/tw/zh/ebook/tG1aCXbY1zG4OkF74QbGYQ,6,2020
超速學習：我這樣做，一個月學會素描，一年學會四種語言，完成MIT四年課程,史考特．楊（Scott H. Young）,4.5,210,https://kbimages1-a.akamaihd.net/0d1f258d-f3ed-4a9b-8456-575aa3977e35/140/215/60/False/mit-12.jpg,https://www.kobo.com/tw/zh/ebook/mit-12,7,2020
槍炮、病菌與鋼鐵：人類社會的命運‧25週年暢銷紀念版,賈德．戴蒙 Jared Diamond,4.5,286,https://kbimages1-a.akamaihd.net/b960b512-d684-41e0-b398-34b223befe6c/140/215/60/False/SeNBxxR2hzCZdTAAXrWvzw.jpg,https://www.kobo.com/tw/zh/ebook/SeNBxxR2hzCZdTAAXrWvzw,8,2020
人生複本【燒腦神作，零負評！】,布萊克．克勞奇,4.5,216,https://kbimages1-a.akamaihd.net/cbcfd485-ac07-43a8-aa30-dba7a94a307f/140/215/60/False/ejIfELnxhDyrtdMPK98Qsw.jpg,https://www.kobo.com/tw/zh/ebook/ejIfELnxhDyrtdMPK98Qsw,9,2020
投資金律：建立獲利投資組合的四大關鍵和十四個關卡（全新增訂版）,威廉．伯恩斯坦(William Bernstein),4.5,274,https://kbimages1-a.akamaihd.net/9fc0873a-fd21-493a-9886-a79ad599de05/140/215/60/False/t2t6Q02AjTKMCb3o-l7IPA.jpg,https://www.kobo.com/tw/zh/ebook/t2t6Q02AjTKMCb3o-l7IPA,10,2020
82年生的金智英,趙南柱（조남주）,4.5,162,https://kbimages1-a.akamaihd.net/ec986dea-a2e6-4f3d-b7c6-c635643222b7/140/215/60/False/ULG652KcSzCYqqQUTLxaDA.jpg,https://www.kobo.com/tw/zh/ebook/ULG652KcSzCYqqQUTLxaDA,11,2020
金錢心理學：打破你對金錢的迷思，學會聰明花費,丹．艾瑞利Dan Ariely、傑夫・克萊斯勒Jeff Kreisler,4.5,267,https://kbimages1-a.akamaihd.net/908ba296-ee40-4117-be69-a3b185a61345/140/215/60/False/PZbs2hN4-DennOqtNX0TLw.jpg,https://www.kobo.com/tw/zh/ebook/PZbs2hN4-DennOqtNX0TLw,12,2020
股票作手回憶錄（經典珍藏版，獨家收錄〈李佛摩交易語錄〉，養成洞悉人性與市場的贏家之眼）,埃德溫．勒菲弗,4.5,288,https://kbimages1-a.akamaihd.net/5b07c0ac-4542-4e04-a8cb-fd59b0585b49/140/215/60/False/zT1dfQC2ojuLVdSMMsUuqw.jpg,https://www.kobo.com/tw/zh/ebook/zT1dfQC2ojuLVdSMMsUuqw,13,2020
鯨吞億萬：一個大馬年輕人，行騙華爾街與好萊塢的真實故事,Tom Wright,4.5,261,https://kbimages1-a.akamaihd.net/4c991718-ed49-48f5-8478-9fca9028fbc6/140/215/60/False/C0ON8Tv7zDugv1Va5S7tYg.jpg,https://www.kobo.com/tw/zh/ebook/C0ON8Tv7zDugv1Va5S7tYg,14,2020
反脆弱,納西姆‧尼可拉斯‧塔雷伯,4.5,277,https://kbimages1-a.akamaihd.net/4edbb8b1-1642-4c15-820e-bf11ae13aea6/140/215/60/False/BsP76V3fEza0v_r0OuHT_Q.jpg,https://www.kobo.com/tw/zh/ebook/BsP76V3fEza0v_r0OuHT_Q,15,2020
子彈思考整理術：釐清超載思緒，化想法為行動，專注最重要的事，設計你想要的人生,瑞德．卡洛 Ryder Carroll,4.5,232,https://kbimages1-a.akamaihd.net/7bf6e146-7b95-4ca4-8884-7d4b5d1cf0d4/140/215/60/False/Ug4ioj457zmQbfVGxD3gZg.jpg,https://www.kobo.com/tw/zh/ebook/Ug4ioj457zmQbfVGxD3gZg,16,2020
被討厭的勇氣：自我啟發之父「阿德勒」的教導,岸見一郎,4.5,166,https://kbimages1-a.akamaihd.net/78553f24-ced7-4f1d-8515-5546421ebd4d/140/215/60/False/nvedXSs0ujimMMwueunJew.jpg,https://www.kobo.com/tw/zh/ebook/nvedXSs0ujimMMwueunJew,17,2020
"也許你該找人聊聊：一個諮商心理師與她的心理師,以及我們的生活",蘿蕊．葛利布,4.5,331,https://kbimages1-a.akamaihd.net/560a9ee5-b217-478f-bcc7-0215166f5447/140/215/60/False/Y9kYqaa7xzaznGBpPKwJUQ.jpg,https://www.kobo.com/tw/zh/ebook/Y9kYqaa7xzaznGBpPKwJUQ,18,2020
我畢業五年，用ETF賺到400萬,PG財經筆記,4.5,204,https://kbimages1-a.akamaihd.net/7f0f3597-ac67-46f9-bbd6-aeebb8b7b1e1/140/215/60/False/etf400.jpg,https://www.kobo.com/tw/zh/ebook/etf400,19,2020
巴菲特寫給股東的信(全新增修版),華倫‧巴菲特著 Warren Buffett、勞倫斯‧康漢寧 Lawrence A. Cunningham,4.5,250,https://kbimages1-a.akamaihd.net/93dd3da1-1a81-4a39-9995-26ba95a67679/140/215/60/False/kTnU8tFZTjaTltFxpF5sRQ.jpg,https://www.kobo.com/tw/zh/ebook/kTnU8tFZTjaTltFxpF5sRQ,20,2020
正常人,莎莉‧魯尼,4.0,226,https://kbimages1-a.akamaihd.net/ae96508b-9246-4842-9243-48e5855e51d0/140/215/60/False/xebSobsjaTKpayCOzaE-iA.jpg,https://www.kobo.com/tw/zh/ebook/xebSobsjaTKpayCOzaE-iA,21,2020
經濟學的40堂公開課：倫敦政經學院教授，生動剖析經濟學家如何思考，讓經濟學成為改變世界的力量,奈爾．傑斯坦尼(Niall Kishtainy),4.5,188,https://kbimages1-a.akamaihd.net/8f02f6d2-c0b5-4f4b-8aae-891ced05712a/140/215/60/False/LGjgTAItFDCFrlPs7MwyLQ.jpg,https://www.kobo.com/tw/zh/ebook/LGjgTAItFDCFrlPs7MwyLQ,22,2020
彼得原理,勞倫斯．彼得（Laurence J. Peter） / 雷蒙德．霍爾（Raymond Hull）,4.5,188,https://kbimages1-a.akamaihd.net/59d86c08-b468-4277-b364-e1065e5ac0b4/140/215/60/False/01wgS9L_BjeMTjBMSe7W8w.jpg,https://www.kobo.com/tw/zh/ebook/01wgS9L_BjeMTjBMSe7W8w,23,2020
人類大歷史,哈拉瑞,4.5,356,https://kbimages1-a.akamaihd.net/b9b6ae65-4546-41b4-95f0-badbe80eabb4/140/215/60/False/XG94YS9yUT-mOsJ2EcHXuw.jpg,https://www.kobo.com/tw/zh/ebook/XG94YS9yUT-mOsJ2EcHXuw,24,2020
