ip,port,err,checkurl,g_idx
129.21.105.46,8080,"Cannot connect to host 129.21.105.46:8080 ssl:default [Connect call failed ('129.21.105.46', 8080)]",https://www.whatismyip.com.tw/tw/,7
129.21.105.46,8080,"Cannot connect to host 129.21.105.46:8080 ssl:default [Connect call failed ('129.21.105.46', 8080)]",https://httpbin.org/ip,7
129.21.105.46,8080,"Cannot connect to host 129.21.105.46:8080 ssl:default [Connect call failed ('129.21.105.46', 8080)]",https://www.whatismyip.com/,7
129.21.105.46,8080,"Cannot connect to host 129.21.105.46:8080 ssl:default [Connect call failed ('129.21.105.46', 8080)]",https://www.myip.com/,7
129.21.105.46,8080,"Cannot connect to host 129.21.105.46:8080 ssl:default [Connect call failed ('129.21.105.46', 8080)]",http://210.240.175.62/NTIIS/IP_test.asp,7
129.21.105.46,8080,"Cannot connect to host 129.21.105.46:8080 ssl:default [Connect call failed ('129.21.105.46', 8080)]",https://whatismyipaddress.com/zh-cn/index,7
129.21.105.46,8080,"Cannot connect to host 129.21.105.46:8080 ssl:default [Connect call failed ('129.21.105.46', 8080)]",https://www.rus.net.tw/myip.php,7
129.21.253.179,8080,"502, message='Bad Gateway', url=URL('http://129.21.253.179:8080')",https://whatismyipaddress.com/zh-cn/index,8
129.21.253.179,8080,"502, message='Bad Gateway', url=URL('http://129.21.253.179:8080')",https://httpbin.org/ip,8
129.21.253.179,8080,"Cannot connect to host 129.21.253.179:8080 ssl:default [Connect call failed ('129.21.253.179', 8080)]",http://210.240.175.62/NTIIS/IP_test.asp,8
129.21.253.179,8080,"Cannot connect to host 129.21.253.179:8080 ssl:default [Connect call failed ('129.21.253.179', 8080)]",https://www.whatismyip.com/,8
129.21.253.179,8080,"Cannot connect to host 129.21.253.179:8080 ssl:default [Connect call failed ('129.21.253.179', 8080)]",https://www.whatismyip.com.tw/tw/,8
129.21.253.179,8080,Cannot connect to host www.myip.com:443 ssl:default [Connection reset by peer],https://www.myip.com/,8
129.21.253.179,8080,Server disconnected,https://www.rus.net.tw/myip.php,8
149.125.38.124,8080,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,9
149.125.38.124,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,9
149.125.38.124,8080,asyncio.exceptions.TimeoutError,https://www.myip.com/,9
149.125.38.124,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,9
149.125.38.124,8080,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,9
149.125.38.124,8080,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,9
149.125.38.124,8080,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,9
154.72.204.122,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,10
154.72.204.122,8080,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,10
154.72.204.122,8080,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,10
154.72.204.122,8080,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,10
154.72.204.122,8080,asyncio.exceptions.TimeoutError,https://www.myip.com/,10
154.72.204.122,8080,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,10
154.72.204.122,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,10
160.19.232.85,3128,Server disconnected,https://www.whatismyip.com.tw/tw/,11
160.19.232.85,3128,"status=200, or ip not show in checkurl",http://210.240.175.62/NTIIS/IP_test.asp,11
160.19.232.85,3128,"status=200, or ip not show in checkurl",https://www.rus.net.tw/myip.php,11
160.19.232.85,3128,"status=200, or ip not show in checkurl",https://www.myip.com/,11
160.19.232.85,3128,"status=200, or ip not show in checkurl",https://httpbin.org/ip,11
160.19.232.85,3128,"status=403, or ip not show in checkurl",https://www.whatismyip.com/,11
160.19.232.85,3128,"status=403, or ip not show in checkurl",https://whatismyipaddress.com/zh-cn/index,11
161.82.175.172,8080,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,12
161.82.175.172,8080,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,12
161.82.175.172,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,12
161.82.175.172,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,12
161.82.175.172,8080,asyncio.exceptions.TimeoutError,https://www.myip.com/,12
161.82.175.172,8080,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,12
161.82.175.172,8080,"status=200, or ip not show in checkurl",https://www.rus.net.tw/myip.php,12
165.227.173.87,44641,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,13
165.227.173.87,44641,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,13
165.227.173.87,44641,asyncio.exceptions.TimeoutError,https://www.myip.com/,13
165.227.173.87,44641,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,13
165.227.173.87,44641,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,13
165.227.173.87,44641,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,13
165.227.173.87,44641,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,13
167.172.109.12,36457,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,14
167.172.109.12,36457,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,14
167.172.109.12,36457,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,14
167.172.109.12,36457,asyncio.exceptions.TimeoutError,https://www.myip.com/,14
167.172.109.12,36457,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,14
167.172.109.12,36457,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,14
167.172.109.12,36457,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,14
167.172.123.221,9300,"503, message='Too many open connections', url=URL('http://167.172.123.221:9300')",https://www.whatismyip.com.tw/tw/,15
167.172.123.221,9300,asyncio.exceptions.TimeoutError,https://www.myip.com/,15
167.172.123.221,9300,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,15
167.172.123.221,9300,"status=200, or ip not show in checkurl",http://210.240.175.62/NTIIS/IP_test.asp,15
167.172.123.221,9300,"status=200, or ip not show in checkurl",https://httpbin.org/ip,15
167.172.123.221,9300,"status=200, or ip not show in checkurl",https://www.rus.net.tw/myip.php,15
167.172.123.221,9300,"status=403, or ip not show in checkurl",https://whatismyipaddress.com/zh-cn/index,15
167.172.171.115,34538,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,16
167.172.171.115,34538,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,16
167.172.171.115,34538,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,16
167.172.171.115,34538,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,16
167.172.171.115,34538,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,16
167.172.171.115,34538,asyncio.exceptions.TimeoutError,https://www.myip.com/,16
167.172.171.115,34538,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,16
167.172.171.151,43337,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,17
167.172.171.151,43337,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,17
167.172.171.151,43337,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,17
167.172.171.151,43337,asyncio.exceptions.TimeoutError,https://www.myip.com/,17
167.172.171.151,43337,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,17
167.172.171.151,43337,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,17
167.172.171.151,43337,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,17
167.172.180.40,43112,"503, message='Service Unavailable', url=URL('http://167.172.180.40:43112')",https://httpbin.org/ip,18
167.172.180.40,43112,"503, message='Service Unavailable', url=URL('http://167.172.180.40:43112')",https://www.whatismyip.com.tw/tw/,18
167.172.180.40,43112,"503, message='Service Unavailable', url=URL('http://167.172.180.40:43112')",https://www.whatismyip.com/,18
167.172.180.40,43112,asyncio.exceptions.TimeoutError,https://www.myip.com/,18
167.172.180.40,43112,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,18
167.172.180.40,43112,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,18
167.172.180.40,43112,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,18
167.172.184.166,38318,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,19
167.172.184.166,38318,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,19
167.172.184.166,38318,asyncio.exceptions.TimeoutError,https://www.myip.com/,19
167.172.184.166,38318,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,19
167.172.184.166,38318,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,19
167.172.184.166,38318,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,19
167.172.184.166,38318,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,19
167.71.41.173,44425,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,20
167.71.41.173,44425,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,20
167.71.41.173,44425,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,20
167.71.41.173,44425,asyncio.exceptions.TimeoutError,https://www.myip.com/,20
167.71.41.173,44425,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,20
167.71.41.173,44425,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,20
167.71.41.173,44425,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,20
